12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[25] [TOSHIBA] TH58NVG1S3AFT                  (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[26] [HYNIX] HY27XS08561M                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[27] [HYNIX] HY27XS08121M                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[28] [HYNIX] HY27XA081G1M                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[29] [HYNIX] HY27XA161G1M                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[30] [ST] ST128W3A                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[31] [ST] ST128W4A                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[32] [ST] ST256W3A                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[33] [ST] ST256W4A                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[34] [ST] ST512W3A                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[35] [ST] ST512W4A                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[36] [ST] ST01GW3A                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[37] [ST] ST01GW4A                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[38] [ST] ST512R3B                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[39] [ST] ST512W3B                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[40] [ST] ST512R4B                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[41] [ST] ST512W4B                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[42] [ST] ST01GR3B                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[43] [ST] ST01GW3B                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[44] [ST] ST01GR4B                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[45] [ST] ST01GW4B                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[46] [ST] ST02GR3B                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[47] [ST] ST02GW3B                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[48] [ST] ST02GR4B                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[49] [ST] ST02GW4B                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[50] [ST] ST04GR3B                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[51] [ST] ST04GW3B                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[52] [ST] ST04GR4B                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[53] [ST] ST04GW4B                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[54] [ST] ST08GR3B                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[55] [ST] ST08GW3B                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[56] [ST] ST08GR4B                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[57] [ST] ST08GW4B                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[58] [SAMSUNG] K9F2808U0C                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[59] [SAMSUNG] K9K8G08U0M                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[60] [TOSHIBA] TH58NVG2D4BFT                  (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[62] [HYNIX] HY27UF081G2M                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[63] [TOSHIBA] TH58NVG1S8BFT                  (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[64] [MICRON] MT29F2G08AAC                    (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[65] [MICRON] MT29F2G08ABD                    (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[66] [MICRON] MT29F4G08BAB                    (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[67] [MICRON] MT29F4G16ABD                    (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[68] [MICRON] MT29F64G08CBABB                 (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[69] [MICRON] MT29F32G08CBADB                 (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[71] [SANDISK] SDTNRGAME_008G                 (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[73] [TOSHIBA] TC58TEG5DCJTA00                (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[79] [HYNIX] H27UCG8T2ATR                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[80] [RENESAS] superAND 512Mb/8bits           (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[81] [RENESAS] superAND 512Mb/16bits          (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[82] [Infineon] HYF33DS51280                  (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[83] [Infineon] HYF33DS1G80                   (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[84] [Infineon] HYF33DS1G16                   (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[85] [HYNIX] NAND_NCSPN4N2A                   (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[86] [TOSHIBA] TC58NWM9S3B                    (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[87] [HYNIX] HY27UF082G2M                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[88] [RENESAS] M6MGA157F2LCWG08               (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[89] [RENESAS] M6MGA157F2LCWG16               (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[90] [TOSHIBA] TC58NWM9S8C                    (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[91] [TOSHIBA] TC58NWG0S8C                    (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[92] [HYNIX] HY27US16561M                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[93] [HYNIX] HY27UF162G5A                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[94] [HYNIX] HY27UT088G2A                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[95] [TOSHIBA] TC58NVG4D1DTG                  (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[96] [TOSHIBA] TY58NYG3S5F                    (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[97] [SAMSUNG] K5E1257ACM                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[98] [SAMSUNG] K5E1G12ACF                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[99] [MICRON] MT29F2G16ABD                    (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[100] [HYNIX] HYD0SFG0MF1P                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[101] [HYNIX] HYD0SQG0MF1P                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[102] [HYNIX] H9DA4VH4JJAMCR                   (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[103] [HYNIX] H9DA4GH4JJAMCR                   (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[105] [HYNIX] H27UCG8T2ETR                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[107] [HYNIX] H8BCS0CG0MBR                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[108] [HYNIX] H8BCS0PG0MBP                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[109] [TOSHIBA] TC58NYG0S8C                    (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[110] [TOSHIBA] TC58NYG1S8C                    (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[111] [ST] ST512R3A                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[112] [ST] ST512R4A                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[113] [MICRON] MT29F1G08ABB                    (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[114] [MICRON] MT29F1G16ABB                    (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
